entity_type,entity_id,ring,point_idx,x,y,qty,rotation_step_deg,mirror_allowed,clearance,grain_angle_deg
SHEET,sheet-L-01,0,0,0,0,,,,,
SHEET,sheet-L-01,0,1,1400,0,,,,,
SHEET,sheet-L-01,0,2,1400,120,,,,,
SHEET,sheet-L-01,0,3,1300,160,,,,,
SHEET,sheet-L-01,0,4,1350,240,,,,,
SHEET,sheet-L-01,0,5,1220,320,,,,,
SHEET,sheet-L-01,0,6,1300,420,,,,,
SHEET,sheet-L-01,0,7,1180,520,,,,,
SHEET,sheet-L-01,0,8,1000,580,,,,,
SHEET,sheet-L-01,0,9,800,600,,,,,
SHEET,sheet-L-01,0,10,620,580,,,,,
SHEET,sheet-L-01,0,11,440,600,,,,,
SHEET,sheet-L-01,0,12,280,560,,,,,
SHEET,sheet-L-01,0,13,180,500,,,,,
SHEET,sheet-L-01,0,14,140,440,,,,,
SHEET,sheet-L-01,0,15,180,360,,,,,
SHEET,sheet-L-01,0,16,120,280,,,,,
SHEET,sheet-L-01,0,17,160,200,,,,,
SHEET,sheet-L-01,0,18,80,120,,,,,
SHEET,sheet-L-01,0,19,0,80,,,,,
SHEET,sheet-L-01,1,0,310,360,,,,,
SHEET,sheet-L-01,1,1,300,389,,,,,
SHEET,sheet-L-01,1,2,275,408,,,,,
SHEET,sheet-L-01,1,3,245,408,,,,,
SHEET,sheet-L-01,1,4,220,389,,,,,
SHEET,sheet-L-01,1,5,210,360,,,,,
SHEET,sheet-L-01,1,6,220,331,,,,,
SHEET,sheet-L-01,1,7,245,312,,,,,
SHEET,sheet-L-01,1,8,275,312,,,,,
SHEET,sheet-L-01,1,9,300,331,,,,,
SHEET,sheet-L-01,2,0,760,200,,,,,
SHEET,sheet-L-01,2,1,749,235,,,,,
SHEET,sheet-L-01,2,2,719,257,,,,,
SHEET,sheet-L-01,2,3,681,257,,,,,
SHEET,sheet-L-01,2,4,651,235,,,,,
SHEET,sheet-L-01,2,5,640,200,,,,,
SHEET,sheet-L-01,2,6,651,165,,,,,
SHEET,sheet-L-01,2,7,681,143,,,,,
SHEET,sheet-L-01,2,8,719,143,,,,,
SHEET,sheet-L-01,2,9,749,165,,,,,
SHEET,sheet-L-01,3,0,1155,500,,,,,
SHEET,sheet-L-01,3,1,1144,532,,,,,
SHEET,sheet-L-01,3,2,1117,552,,,,,
SHEET,sheet-L-01,3,3,1083,552,,,,,
SHEET,sheet-L-01,3,4,1056,532,,,,,
SHEET,sheet-L-01,3,5,1045,500,,,,,
SHEET,sheet-L-01,3,6,1056,468,,,,,
SHEET,sheet-L-01,3,7,1083,448,,,,,
SHEET,sheet-L-01,3,8,1117,448,,,,,
SHEET,sheet-L-01,3,9,1144,468,,,,,
PART,rect_L1,0,0,0,0,10,10,False,5,0
PART,rect_L1,0,1,100,0,,,,,
PART,rect_L1,0,2,100,160,,,,,
PART,rect_L1,0,3,0,160,,,,,
PART,rect_L2,0,0,0,0,8,10,False,5,0
PART,rect_L2,0,1,160,0,,,,,
PART,rect_L2,0,2,160,90,,,,,
PART,rect_L2,0,3,0,90,,,,,
PART,ngon_L1,0,0,70,0,6,10,False,5,0
PART,ngon_L1,0,1,61,35,,,,,
PART,ngon_L1,0,2,35,61,,,,,
PART,ngon_L1,0,3,0,70,,,,,
PART,ngon_L1,0,4,-35,61,,,,,
PART,ngon_L1,0,5,-61,35,,,,,
PART,ngon_L1,0,6,-70,0,,,,,
PART,ngon_L1,0,7,-61,-35,,,,,
PART,ngon_L1,0,8,-35,-61,,,,,
PART,ngon_L1,0,9,0,-70,,,,,
PART,ngon_L1,0,10,35,-61,,,,,
PART,ngon_L1,0,11,61,-35,,,,,
PART,tri_L1,0,0,0,0,6,10,False,5,0
PART,tri_L1,0,1,150,0,,,,,
PART,tri_L1,0,2,60,140,,,,,
PART,trap_L1,0,0,0,0,6,10,False,6,0
PART,trap_L1,0,1,180,0,,,,,
PART,trap_L1,0,2,150,100,,,,,
PART,trap_L1,0,3,30,100,,,,,
PART,L_L1,0,0,0,0,6,10,False,6,0
PART,L_L1,0,1,180,0,,,,,
PART,L_L1,0,2,180,90,,,,,
PART,L_L1,0,3,110,90,,,,,
PART,L_L1,0,4,110,160,,,,,
PART,L_L1,0,5,0,160,,,,,
PART,pent_L1,0,0,80,0,4,10,False,6,0
PART,pent_L1,0,1,25,76,,,,,
PART,pent_L1,0,2,-65,47,,,,,
PART,pent_L1,0,3,-65,-47,,,,,
PART,pent_L1,0,4,25,-76,,,,,
