entity_type,entity_id,ring,point_idx,x,y,qty,rotation_step_deg,mirror_allowed,clearance,grain_angle_deg
SHEET,sheet-S-01,0,0,0,0,,,,,
SHEET,sheet-S-01,0,1,260,0,,,,,
SHEET,sheet-S-01,0,2,260,180,,,,,
SHEET,sheet-S-01,0,3,0,180,,,,,
PART,rect_small,0,0,0,0,4,15,False,4,0
PART,rect_small,0,1,60,0,,,,,
PART,rect_small,0,2,60,80,,,,,
PART,rect_small,0,3,0,80,,,,,
PART,rect_wide,0,0,0,0,2,15,False,4,0
PART,rect_wide,0,1,120,0,,,,,
PART,rect_wide,0,2,120,50,,,,,
PART,rect_wide,0,3,0,50,,,,,
PART,circle_small,0,0,40,0,2,15,False,4,0
PART,circle_small,0,1,37,15,,,,,
PART,circle_small,0,2,28,28,,,,,
PART,circle_small,0,3,15,37,,,,,
PART,circle_small,0,4,0,40,,,,,
PART,circle_small,0,5,-15,37,,,,,
PART,circle_small,0,6,-28,28,,,,,
PART,circle_small,0,7,-37,15,,,,,
PART,circle_small,0,8,-40,0,,,,,
PART,circle_small,0,9,-37,-15,,,,,
PART,circle_small,0,10,-28,-28,,,,,
PART,circle_small,0,11,-15,-37,,,,,
PART,circle_small,0,12,0,-40,,,,,
PART,circle_small,0,13,15,-37,,,,,
PART,circle_small,0,14,28,-28,,,,,
PART,circle_small,0,15,37,-15,,,,,
PART,circle_medium,0,0,55,0,1,15,False,4,0
PART,circle_medium,0,1,51,21,,,,,
PART,circle_medium,0,2,39,39,,,,,
PART,circle_medium,0,3,21,51,,,,,
PART,circle_medium,0,4,0,55,,,,,
PART,circle_medium,0,5,-21,51,,,,,
PART,circle_medium,0,6,-39,39,,,,,
PART,circle_medium,0,7,-51,21,,,,,
PART,circle_medium,0,8,-55,0,,,,,
PART,circle_medium,0,9,-51,-21,,,,,
PART,circle_medium,0,10,-39,-39,,,,,
PART,circle_medium,0,11,-21,-51,,,,,
PART,circle_medium,0,12,0,-55,,,,,
PART,circle_medium,0,13,21,-51,,,,,
PART,circle_medium,0,14,39,-39,,,,,
PART,circle_medium,0,15,51,-21,,,,,
