entity_type,entity_id,ring,point_idx,x,y,qty,rotation_step_deg,mirror_allowed,clearance,grain_angle_deg
SHEET,sheet-irregular-01,0,0,0,0,,,,,
SHEET,sheet-irregular-01,0,1,1500,0,,,,,
SHEET,sheet-irregular-01,0,2,1500,220,,,,,
SHEET,sheet-irregular-01,0,3,1350,260,,,,,
SHEET,sheet-irregular-01,0,4,1500,300,,,,,
SHEET,sheet-irregular-01,0,5,1500,1000,,,,,
SHEET,sheet-irregular-01,0,6,900,1000,,,,,
SHEET,sheet-irregular-01,0,7,850,920,,,,,
SHEET,sheet-irregular-01,0,8,800,1000,,,,,
SHEET,sheet-irregular-01,0,9,0,1000,,,,,
PART,r_small,0,0,0,0,18,15,FALSE,4,0
PART,r_small,0,1,70,0,,,,,
PART,r_small,0,2,70,90,,,,,
PART,r_small,0,3,0,90,,,,,
PART,r_medium,0,0,0,0,14,10,FALSE,4,0
PART,r_medium,0,1,110,0,,,,,
PART,r_medium,0,2,110,80,,,,,
PART,r_medium,0,3,0,80,,,,,
PART,r_tall,0,0,0,0,12,10,FALSE,5,0
PART,r_tall,0,1,80,0,,,,,
PART,r_tall,0,2,80,140,,,,,
PART,r_tall,0,3,0,140,,,,,
PART,tri_small,0,0,0,0,10,15,FALSE,4,0
PART,tri_small,0,1,90,0,,,,,
PART,tri_small,0,2,45.0,80,,,,,
PART,tri_big,0,0,0,0,6,10,FALSE,5,0
PART,tri_big,0,1,140,0,,,,,
PART,tri_big,0,2,70.0,120,,,,,
PART,trap_small,0,0,0,0,12,10,FALSE,4,0
PART,trap_small,0,1,120,0,,,,,
PART,trap_small,0,2,80,70,,,,,
PART,trap_small,0,3,40,70,,,,,
PART,pent_small,0,0,0,0,10,15,FALSE,5,0
PART,pent_small,0,1,110,0,,,,,
PART,pent_small,0,2,93.5,38.5,,,,,
PART,pent_small,0,3,55.0,110,,,,,
PART,pent_small,0,4,16.5,38.5,,,,,
PART,l_small,0,0,0,0,10,15,FALSE,4,0
PART,l_small,0,1,120,0,,,,,
PART,l_small,0,2,120,80,,,,,
PART,l_small,0,3,40,80,,,,,
PART,l_small,0,4,40,40,,,,,
PART,l_small,0,5,0,40,,,,,
PART,bar_long,0,0,0,0,8,5,FALSE,4,0
PART,bar_long,0,1,180,0,,,,,
PART,bar_long,0,2,180,45,,,,,
PART,bar_long,0,3,0,45,,,,,
PART,bar_wide,0,0,0,0,8,5,FALSE,4,0
PART,bar_wide,0,1,160,0,,,,,
PART,bar_wide,0,2,160,60,,,,,
PART,bar_wide,0,3,0,60,,,,,
PART,kite,0,0,0,40,8,10,FALSE,4,0
PART,kite,0,1,60,0,,,,,
PART,kite,0,2,120,40,,,,,
PART,kite,0,3,60,120,,,,,
PART,hex_stub,0,0,30,0,6,10,FALSE,4,0
PART,hex_stub,0,1,90,0,,,,,
PART,hex_stub,0,2,120,40,,,,,
PART,hex_stub,0,3,90,80,,,,,
PART,hex_stub,0,4,30,80,,,,,
PART,hex_stub,0,5,0,40,,,,,
